region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
VIII (Eastern Visayas),Calbayog,PAL,0,0,0,0,0,0,0,0,-,-,-,-,0,-
VIII (Eastern Visayas),Calbayog,Cebu Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Calbayog,Zest Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Calbayog,Air Philippines,124,112,124,120,68,64,0,0,0,0,0,0,612,-
VIII (Eastern Visayas),Calbayog,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Catarman,Asian Spirit,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Catarman,PAL,0,0,-,-,0,0,0,0,-,0,0,0,0,-
VIII (Eastern Visayas),Catarman,Cebu Pacific,0,0,0,0,0,0,0,0,0,-,-,0,0,-
VIII (Eastern Visayas),Catarman,Air Philippines,120,104,116,120,120,120,0,0,0,0,-,0,700,-
VIII (Eastern Visayas),Catarman,Zest Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Catarman,G. Aviation,0,0,0,20,124,0,0,0,0,0,0,0,144,-
VIII (Eastern Visayas),Catarman,Military,0,0,0,4,0,4,0,0,0,0,0,0,8,-
VIII (Eastern Visayas),Catbalogan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Guiuan,G. Aviation,0,0,0,2,0,0,0,0,0,0,0,0,2,-
VIII (Eastern Visayas),Hilongos,G. Aviation,130,50,436,194,272,200,0,0,0,0,0,0,1282,-
VIII (Eastern Visayas),Maasin,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Ormoc,Zest Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Ormoc,Air Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Ormoc,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Ormoc,G. Aviation,188,382,488,806,902,814,724,0,0,0,0,0,4304,-
VIII (Eastern Visayas),Tacloban,PAL,0,392,536,480,496,0,0,0,0,0,0,0,1904,-
VIII (Eastern Visayas),Tacloban,Air Phil Express,496,0,0,0,0,0,0,0,0,0,0,0,496,-
VIII (Eastern Visayas),Tacloban,Cebu Pacific,688,604,664,740,764,0,0,0,0,0,0,0,3460,-
VIII (Eastern Visayas),Tacloban,Zest Air,248,184,316,320,272,0,0,0,0,0,0,0,1340,-
VIII (Eastern Visayas),Tacloban,Seair,220,184,204,172,248,0,0,0,0,0,0,0,1028,-
VIII (Eastern Visayas),Tacloban,G. Aviation,20,12,40,56,112,0,0,0,0,0,0,0,240,-
VIII (Eastern Visayas),Tacloban,Military,44,20,16,32,40,0,0,0,0,-,0,0,152,-
ARMM,Cagayan de Sulu,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Dipolog,PAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Dipolog,PALEX,62,56,62,60,62,60,60,0,0,0,0,0,422,-
IX (Zamboanga Peninsula),Dipolog,Cebu Pacific,114,140,150,104,106,140,154,0,0,0,0,0,908,-
IX (Zamboanga Peninsula),Dipolog,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Dipolog,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Ipil,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
ARMM,Jolo,Air Phil Express,26,24,26,26,28,24,26,0,0,0,0,0,180,-
ARMM,Jolo,PAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-
ARMM,Jolo,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,-
ARMM,Jolo,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Liloy,G. Aviation,no report submitted,-,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Pagadian,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Pagadian,Air Philippines,36,22,26,26,58,60,0,0,0,0,0,0,228,-
IX (Zamboanga Peninsula),Pagadian,Cebu Pacific,118,96,106,82,42,40,0,0,0,0,0,0,484,-
ARMM,Sanga-Sanga,Air Phil Express,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Siocon,G. Aviation,no report submitted,-,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Zamboanga***,PAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IX (Zamboanga Peninsula),Zamboanga***,Cebu Pacific,304,306,348,334,346,340,408,0,0,0,0,0,2386,-
IX (Zamboanga Peninsula),Zamboanga***,PAL Express,226,186,228,222,242,242,264,0,0,0,0,0,1610,-
IX (Zamboanga Peninsula),Zamboanga***,Zest Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
