particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Completion of Public Duplex Toilet at Purok 1 and 4, Valencia,VRC","Completion of Public Duplex Toilet at Purok 1 and 4, Valencia,VRC",-300-4h,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Rehabilitation Of Simamla Day Care Center, Virac","Rehabilitation Of Simamla Day Care Center, Virac",-300-4i,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Construction of Multi-Purpose Hall (Phase I), Batag, Virac","Construction of Multi-Purpose Hall (Phase I), Batag, Virac",-300-4j,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Renovation of Multi-Purpose Hall, San Roque, Virac","Renovation of Multi-Purpose Hall, San Roque, Virac",-300-4k,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Rehabilitation Of Barangay Plaza, Palta, Virac","Rehabilitation Of Barangay Plaza, Palta, Virac",-300-4L,300000,300000,-,300000,300000,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","KALAHI CIDDS Counterpart, Bagamanoc","KALAHI CIDDS Counterpart, Bagamanoc",-300-4m,-,-,-,-,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Bagatabao Bagamanoc Footbridge,Construction of Bagatabao Bagamanoc Footbridge,-,57263.29,57263.29,-,57263.29,57263.29,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of San Isidro, Bagamanoc Drainage System","Construction of San Isidro, Bagamanoc Drainage System",-,39554.56,39554.56,-,39554.56,39554.56,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center w or Embankment, San Rafael","Construction of 1 unit Day Care Center w or Embankment, San Rafael",-,31862.69,31862.69,-,31862.69,31862.69,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center, Sta. Mesa","Construction of 1 unit Day Care Center, Sta. Mesa",-,29540.98,29540.98,-,29540.98,29540.98,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Quigaray Drainage System,Construction of Quigaray Drainage System,-,30077.09,30077.09,-,30077.09,30077.09,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Antipolo Drainage System,Construction of Antipolo Drainage System,-,24847.71,24847.71,-,24847.71,24847.71,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Sta. Teresa Drainage System w or Stone Masonry Canal Outlet,Construction of Sta. Teresa Drainage System w or Stone Masonry Canal Outlet,-,25436.46,25436.46,-,25436.46,25436.46,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Improvement of Magsaysay BR w or Drainage Canal,Improvement of Magsaysay BR w or Drainage Canal,-,8930.39,8930.39,-,8930.39,8930.39,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Improvement of Salvacion BR w or Slope Protection,Improvement of Salvacion BR w or Slope Protection,-,6199.68,6199.68,-,6199.68,6199.68,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Cahan Spillway w or Slope Protection and Embankment,Construction of Cahan Spillway w or Slope Protection and Embankment,-,76508.39,76508.39,-,76508.39,76508.39,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of San Vicente Water System, Level 2","Construction of San Vicente Water System, Level 3",-,77108.96,77108.96,-,77108.96,77108.96,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Const of Bacak Spillway w or Slope Protection and Embankment,Const of Bacak Spillway w or Slope Protection and Embankment,-,41037.56,41037.56,-,41037.56,41037.56,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center, Quezon","Construction of 1 unit Day Care Center, Quezon",-,29754.71,29754.71,-,29754.71,29754.71,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Const of Sagrada Drainage System,Const of Sagrada Drainage System,-,21877.53,21877.53,-,21877.53,21877.53,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran","KALAHI CIDDS Counterpart, Caramoran","KALAHI CIDDS Counterpart, Caramoran",-300-4n,-,-,-,-,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Camburo Flood Control,Construction of Camburo Flood Control,-,135819,-,-,135819,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Tucao Flood Control,Construction of Tucao Flood Control,-,119081,-,-,119081,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Maysuram Flood Control,Construction of Maysuram Flood Control,-,101241,-,-,101241,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Bulalacao Flood Control,Construction of Bulalacao Flood Control,-,15997,-,-,15997,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran","Construction of FMR w or Box Culvert, Embankment and Slope Protection","Construction of FMR w or Box Culvert, Embankment and Slope Protection",-,14425,-,-,14425,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Inalmasinan Flood Control,Construction of Inalmasinan Flood Control,-,113437,-,-,113437,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Viga","KALAHI CIDDS Counterpart, Viga","KALAHI CIDDS Counterpart, Viga",-300-4o,-,-,-,-,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Viga",Construction of Water System,Construction of Water System,-,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto","KALAHI CIDDS Counterpart, Gigmoto","KALAHI CIDDS Counterpart, Gigmoto",8919-300-4p,-,-,-,-,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Purchase of Disaster Alarm or Warning System,-,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Plaza, Cabcab, San Andres",-300-4q,300000,-,-,300000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Road Opening Jct of Taopon - Tamahoyan FTMR, Pang.",300-5,5000000,5000000,26649.87,4973350.13,4973350.13,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of Antipolo - Casoocan Road, Virac",300-6,2000000,2000000,23052.03,1976947.97,1976947.97,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Sipi Road Opening, Bato",300-7,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Regravelling of Kagnipa - Balangonan FTMR, Pandan",300-8,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Sta. Elena Patagan FTMR, San Mig.",300-9,4750000,-4750000,-30581.33,4719418.67,-4719418.67,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Regravelling of Casoocan - Magnesia Road, Virac",300-10,1500000,1500000,13646.64,1486353.36,1486353.36,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Concreting of SIV to Palnab del Sur BR (Phase II),300-11,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of San Juan to District 2 BR, San Miguel",300-12,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Oguis - Tilis Road, Bato",300-13,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Comagaycay Rd, SA",300-14,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Pagsangahan BR, San Miguel",300-15,300000,-,-,300000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of BR P. Arcilla St., Rawis, VRC",300-16,400000,-400000,-,400000,-400000,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of BR, JMA Poniton, VRC",300-17,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of BR, Sogod Simamla, VRC",300-18,300000,-,-,300000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of BR, Gogon Centro, VRC",300-19,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of BR, Palnab del Sur (Sabang), VRC",300-20,300000,-,-,300000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Pathway, Ibong Sapa, VRC",300-21,83816,-,-,83816,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of PR, Batalay, Bato",300-22,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Salvacion PR, Bagamanoc",300-23,400000,-400000,-,400000,-400000,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Pajo Baguio, VRC",300-24,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Pajo San Isidro, VRC",300-25,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Antipolo del Norte, VRC",300-26,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Antipolo del Sur, VRC",300-27,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Igang VRC",-300-29g,800000,-,-,800000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Talisoy, VRC",-300-29h,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of PR (Concreting and Drainage), Calatagan Tibang, VRC",-300-29i,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Upgrading of Roads at Jct Calatagan to Hicming,-300-29j,600000,-,-,600000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of Roads and Bridges, Provincewide",-300-29k,3000000,-750000,-,3000000,-750000,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Additional Install. Of Concrete Pipes at Jct PR to Yocti, SA",-300-29L,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Datag-Maui FTMR, Caramoran",-300-29m,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Bonifacio St., Sta. Teresa, Bagamanoc",-300-29n,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Upgrading of Antipolo-Igang PR,-300-29o,3000000,-,-,3000000,-,
April 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Almojuela St., Libod, Pandan",-300-29p,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts","Construction of Box Culvert to Pinatawan Creek, Osmeña, Viga","Construction of Box Culvert to Pinatawan Creek, Osmeña, Viga",-300-30a,500000,500000,-,500000,500000,
April 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts","Const of Spillway, back of Rizal E or S to Sitio Cantuba, Viga","Const of Spillway, back of Rizal E or S to Sitio Cantuba, Viga",-300-30b,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of Cabcab Seawall (Phase III), SA","Construction of Cabcab Seawall (Phase III), SA",-300-28a,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of Bislig Seawall (Phase III), SA","Construction of Bislig Seawall (Phase III), SA",-300-28b,500000,-,-,500000,-1500000,
April 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Repair or Rehabilitation of Carangag River Control, SA","Repair or Rehabilitation of Carangag River Control, SA",-300-28c,500000,-,-,500000,-,
