psgc_brgy,own_use_faucet_community_water_system,shared_faucet_commmunity_water_system,own_use_tubed_or_piped_well,shared_tubed_or_piped_well,dug_well,spring_river_streat_etc,collected_rainfall,peddler
175208028,10,235,22,35,20,1,0,0
175208029,1,5,68,57,1,57,1,0
175208030,15,54,36,32,15,12,0,0
175208031,54,42,22,4,1,15,0,0
175208032,52,14,116,113,3,30,1,0
175208033,18,58,1,2,2,43,1,0
175208034,4,198,1,2,6,142,4,0
175208035,75,31,16,6,0,21,0,0
175208036,45,82,83,147,11,1,0,3
175208037,5,2,182,27,1,1,0,0
175208038,28,5,53,108,4,0,0,0
175208039,7,5,59,209,12,2,0,7
175208040,12,118,86,111,1,0,0,5
175208042,59,75,53,93,1,7,0,1
175208043,13,271,44,76,49,17,0,0
175208044,81,118,70,81,9,3,0,10
175208045,43,44,38,106,0,0,0,0
175208046,44,25,2,21,14,0,0,0
175208047,42,97,1,3,0,0,0,0
175208048,56,42,1,23,6,3,0,1
175208049,107,149,74,112,3,5,0,9
175208050,27,13,74,154,31,0,0,0
175208051,14,11,58,160,21,2,0,0
175208052,25,55,6,39,2,82,0,2
175208053,17,82,0,1,0,0,0,0
175208054,3,0,88,31,15,0,0,0
175208055,10,132,19,20,6,0,0,0
175208056,2,29,20,33,1,0,0,0
175208057,10,0,70,19,21,0,0,0
175208058,12,5,66,45,18,1,0,1
175208059,19,203,4,12,0,0,0,0
175208060,27,163,22,33,2,0,0,0
175208061,13,83,181,98,83,7,0,0
175208062,10,53,28,76,18,0,0,0
175208063,19,86,118,92,9,0,0,14
175208064,3,14,22,123,0,3,0,2
175208065,13,44,37,33,16,0,0,0
175208066,12,55,81,99,1,42,0,0
175208067,18,112,65,63,19,0,0,0
175208068,0,58,2,23,22,57,0,0
175208069,1,5,2,5,1,91,1,1
175208070,1,43,0,0,0,41,0,0
175208071,2,66,1,17,1,4,0,0
175208072,7,130,4,23,3,79,0,0
175209001,5,0,216,197,4,1,0,21
175209002,15,10,48,207,0,0,0,0
175209003,1,2,99,103,17,0,0,0
175209004,71,123,2,15,4,180,16,1
175209005,41,41,4,162,9,40,0,2
175209006,211,67,242,144,0,0,0,46
175209007,1,5,91,216,54,6,0,1
175209008,1,2,134,101,7,2,1,0
175209009,1,2,86,214,1,2,0,1
175209010,241,357,4,3,1,0,0,0
175209011,2,7,4,21,3,151,0,1
175209012,52,47,87,99,1,0,0,0
175209013,29,18,75,174,0,0,0,36
175209014,82,2,7,58,139,62,1,4
175209015,158,11,4,2,2,5,2,985
175209016,66,103,19,92,252,4,0,52
175209017,1,3,73,138,27,0,0,37
